Movie_Name,Movie_rating,User_Score,Genre,ww_gross,d_gross,critic_rating1,user_rating1,critic_rating2,user_rating2,twitter_handles,followers_count
The Perfect Match ,41,5.1,"Comedy, Romance",9669521,9669521,41,51,27,44,,0
Passengers ,41,6.7,"Adventure, Sci-Fi, Drama, Romance",302212434,100014699,41,67,30,63,PassengersMovie,13543
Suicide Squad ,40,6.2,"Action, Adventure, Sci-Fi, Thriller, Fantasy, Comedy, Crime",746100054,325100054,40,62,26,60,SuicideSquadWB,479341
Teenage Mutant Ninja Turtles: Out of the Shadows ,40,5.7,"Action, Adventure, Sci-Fi, Fantasy, Comedy",245623848,82051601,40,57,36,47,TMNTMovie ‏,0
The Benefactor ,40,5.1,Drama ,1904720,1904720,40,51,25,23,,0
Mechanic: Resurrection ,38,5.4,"Action, Thriller, Crime ",110312958,21218403,38,54,31,40,TheMechanic,7681
Ben-Hur ,38,5,"Action, Adventure, Drama, History ",88725100,26410477,38,50,25,53,BenHurMovie,80029
Cell ,38,3.2,"Sci-Fi, Thriller, Horror ",735841,735841,38,32,10,17,,0
Criminal ,36,7.6,"Action, Sci-Fi, Drama, Mystery, Thriller, Crime",38771262,14708696,36,76,30,47,,0
Assassin's Creed ,36,6.3,"Action, Adventure, Sci-Fi, Drama, History, Fantasy ",240497948,54647948,36,63,18,43,AssassinsMovie‏,0
Solace ,36,5.6,"Drama, Mystery, Thriller, Crime ",22586863,22586863,36,56,25,44,,0
The Huntsman: Winter's War ,35,5.1,"Action, Adventure, Drama, Fantasy",165149302,48003015,35,51,17,46,TheHuntsman,71026
Keeping Up with the Joneses ,34,6,"Action, Comedy",28804426,14904426,34,60,20,37,,0
Alice Through the Looking Glass ,34,5.9,"Adventure, Fantasy, Family ",277442381,77042381,34,59,29,49,,0
Zoolander 2 ,34,4.2,Comedy ,55348693,28848693,34,42,23,20,ZoolanderMovie,87514
The Divergent Series: Allegiant ,33,4.1,"Action, Adventure, Sci-Fi, Mystery, Thriller, Romance",171484051,66184051,33,41,12,42,DivergentSeries,144313
Ride Along 2 ,32,4.5,"Action, Comedy ",124827316,90862685,32,45,13,48,RideAlong,120780
Independence Day: Resurgence ,32,4.5,"Action, Adventure, Sci-Fi",387644286,103144286,32,45,31,30,ID4Sequel ‏,0
Warcraft ,32,8.2,"Action, Adventure, Fantasy",433125655,47225655,32,82,28,77,warcraftmovie,43683
Fifty Shades of Black ,28,2,Comedy ,20765353,11686940,28,20,7,19,FSOBMovie,25304
Gods of Egypt ,25,4.4,"Action, Adventure, Fantasy",133553464,31153464,25,44,15,37,GodsofEgypt,5429
Collateral Beauty ,23,6.2,"Drama, Romance",85315070,31016021,23,62,14,64,CBeautyMovie,4250
Yoga Hosers ,23,4.7,"Thriller, Fantasy, Horror, Comedy ",2199,2199,23,47,19,34,,0
Nine Lives ,11,2.8,"Fantasy, Comedy, Family ",44223197,19700032,11,28,13,41,ninelives,3376
The Mermaid,69,7.1,"Sci-Fi, Drama, Fantasy, Romance",552198479,3229457,69,71,94,60,,0
Lion,69,7.9,Drama,147528731,51728731,69,79,86,91,LionMovie,11550
Hidden Figures ,74,7.4,"Biography, Drama, History",231580573,169387004,74,74,93,93,HiddenFigures,26963
A Monster Calls,76,7.8,"Drama,�Fantasy",46422066,3740823,76,78,86,81,amonstercalls,3247
